;;;;;;;;;;;;;
;;;;;;;;;;;;;
County;City;Population;;;;;;;;;;;
Imperial;Calexico            ;18 633;;;;;;;;;;;
Imperial;Calipatria          ;2 690;;;;;;;;;;;
Imperial;El Centro           ;31 405;;;;;;;;;;;
Imperial;Holtville           ;4 820;;;;;;;;;;;
Imperial;Imperial            ;4 113;;;;;;;;;;;
Imperial;Westmorland         ;1 380;;;;;;;;;;;
Imperial;Balance Of County    ;27 339;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Inyo;Bishop              ;3 475;;;;;;;;;;;
Inyo;Balance Of County    ;14 806;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kern;Arvin               ;9 286;;;;;;;;;;;
Kern;Bakersfield         ;174 978;;;;;;;;;;;
Kern;California City     ;5 955;;;;;;;;;;;
Kern;Delano              ;22 762;;;;;;;;;;;
Kern;Maricopa            ;1 193;;;;;;;;;;;
Kern;Mcfarland           ;7 005;;;;;;;;;;;
Kern;Ridgecrest          ;28 295;;;;;;;;;;;
Kern;Shafter             ;8 409;;;;;;;;;;;
Kern;Taft                ;5 902;;;;;;;;;;;
Kern;Tehachapi           ;6 182;;;;;;;;;;;
Kern;Wasco               ;12 412;;;;;;;;;;;
Kern;Balance Of County    ;262 602;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kings;Avenal              ;9 770;;;;;;;;;;;
Kings;Corcoran            ;13 360;;;;;;;;;;;
Kings;Hanford             ;30 463;;;;;;;;;;;
Kings;Lemoore             ;13 622;;;;;;;;;;;
Kings;Balance Of County    ;34 254;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Lake;Clearlake           ;11 804;;;;;;;;;;;
Lake;Lakeport            ;4 390;;;;;;;;;;;
Lake;Balance Of County    ;34 437;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Lassen;Susanville          ;7 279;;;;;;;;;;;
Lassen;Balance Of County    ;20 319;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Los Angeles;Agoura Hills        ;20 385;;;;;;;;;;;
Los Angeles;Alhambra            ;82 087;;;;;;;;;;;
Los Angeles;Arcadia             ;48 284;;;;;;;;;;;
Los Angeles;Artesia             ;15 464;;;;;;;;;;;
Los Angeles;Avalon              ;2 918;;;;;;;;;;;
Los Angeles;Azusa               ;41 203;;;;;;;;;;;
Los Angeles;Baldwin Park        ;69 330;;;;;;;;;;;
Los Angeles;Bell                ;34 365;;;;;;;;;;;
Los Angeles;Bellflower          ;61 815;;;;;;;;;;;
Los Angeles;Bell Gardens        ;42 315;;;;;;;;;;;
Los Angeles;Beverly Hills       ;31 971;;;;;;;;;;;
Los Angeles;Bradbury            ;829;;;;;;;;;;;
Los Angeles;Burbank             ;93 649;;;;;;;;;;;
Los Angeles;Calabasas           ;*;;;;;;;;;;;
Los Angeles;Carson              ;83 995;;;;;;;;;;;
Los Angeles;Cerritos            ;53 244;;;;;;;;;;;
Los Angeles;Claremont           ;32 610;;;;;;;;;;;
Los Angeles;Commerce            ;12 135;;;;;;;;;;;
Los Angeles;Compton             ;90 454;;;;;;;;;;;
Los Angeles;Covina              ;43 332;;;;;;;;;;;
Los Angeles;Cudahy              ;22 817;;;;;;;;;;;
Los Angeles;Culver City         ;38 793;;;;;;;;;;;
Los Angeles;Diamond Bar         ;53 672;;;;;;;;;;;
Los Angeles;Downey              ;91 444;;;;;;;;;;;
Los Angeles;Duarte              ;20 716;;;;;;;;;;;
Los Angeles;El Monte            ;106 162;;;;;;;;;;;
Los Angeles;El Segundo          ;15 223;;;;;;;;;;;
Los Angeles;Gardena             ;49 841;;;;;;;;;;;
Los Angeles;Glendale            ;180 038;;;;;;;;;;;
Los Angeles;Glendora            ;47 832;;;;;;;;;;;
Los Angeles;Hawaiian Gardens    ;13 639;;;;;;;;;;;
Los Angeles;Hawthorne           ;71 349;;;;;;;;;;;
Los Angeles;Hermosa Beach       ;18 219;;;;;;;;;;;
Los Angeles;Hidden Hills        ;1 729;;;;;;;;;;;
Los Angeles;Huntington Park     ;56 129;;;;;;;;;;;
Los Angeles;Industry            ;631;;;;;;;;;;;
Los Angeles;Inglewood           ;109 602;;;;;;;;;;;
Los Angeles;Irwindale           ;1 050;;;;;;;;;;;
Los Angeles;La Canada Flintridge;19 378;;;;;;;;;;;
Los Angeles;La Habra Heights    ;6 226;;;;;;;;;;;
Los Angeles;Lakewood            ;73 553;;;;;;;;;;;
Los Angeles;La Mirada           ;40 452;;;;;;;;;;;
Los Angeles;Lancaster           ;97 300;;;;;;;;;;;
Los Angeles;La Puente           ;36 955;;;;;;;;;;;
Los Angeles;La Verne            ;30 843;;;;;;;;;;;
Los Angeles;Lawndale            ;27 331;;;;;;;;;;;
Los Angeles;Lomita              ;19 442;;;;;;;;;;;
Los Angeles;Long Beach          ;429 321;;;;;;;;;;;
Los Angeles;Los Angeles         ;3 485 557;;;;;;;;;;;
Los Angeles;Lynwood             ;61 945;;;;;;;;;;;
Los Angeles;Malibu              ;*;;;;;;;;;;;
Los Angeles;Manhattan Beach     ;32 063;;;;;;;;;;;
Los Angeles;Maywood             ;27 893;;;;;;;;;;;
Los Angeles;Monrovia            ;35 733;;;;;;;;;;;
Los Angeles;Montebello          ;59 564;;;;;;;;;;;
Los Angeles;Monterey Park       ;60 738;;;;;;;;;;;
Los Angeles;Norwalk             ;94 279;;;;;;;;;;;
Los Angeles;Palmdale            ;68 946;;;;;;;;;;;
Los Angeles;Palos Verdes Estates;13 512;;;;;;;;;;;
Los Angeles;Paramount           ;47 669;;;;;;;;;;;
Los Angeles;Pasadena            ;131 586;;;;;;;;;;;
Los Angeles;Pico Rivera         ;59 177;;;;;;;;;;;
Los Angeles;Pomona              ;131 700;;;;;;;;;;;
Los Angeles;Rancho Palos Verdes ;41 667;;;;;;;;;;;
Los Angeles;Redondo Beach       ;60 167;;;;;;;;;;;
Los Angeles;Rolling Hills       ;1 871;;;;;;;;;;;
Los Angeles;Rolling Hills Estates;7 789;;;;;;;;;;;
Los Angeles;Rosemead            ;51 638;;;;;;;;;;;
Los Angeles;San Dimas           ;32 398;;;;;;;;;;;
Los Angeles;San Fernando        ;22 580;;;;;;;;;;;
Los Angeles;San Gabriel         ;37 120;;;;;;;;;;;
Los Angeles;San Marino          ;12 959;;;;;;;;;;;
Los Angeles;Santa Clarita       ;110 690;;;;;;;;;;;
Los Angeles;Santa Fe Springs    ;15 520;;;;;;;;;;;
Los Angeles;Santa Monica        ;86 905;;;;;;;;;;;
Los Angeles;Sierra Madre        ;10 762;;;;;;;;;;;
Los Angeles;Signal Hill         ;8 371;;;;;;;;;;;
Los Angeles;South El Monte      ;20 850;;;;;;;;;;;
Los Angeles;South Gate          ;86 284;;;;;;;;;;;
Los Angeles;South Pasadena      ;23 936;;;;;;;;;;;
Los Angeles;Temple City         ;31 153;;;;;;;;;;;
Los Angeles;Torrance            ;133 107;;;;;;;;;;;
Los Angeles;Vernon              ;82;;;;;;;;;;;
Los Angeles;Walnut              ;29 105;;;;;;;;;;;
Los Angeles;West Covina         ;96 226;;;;;;;;;;;
Los Angeles;West Hollywood      ;36 118;;;;;;;;;;;
Los Angeles;Westlake Village    ;7 455;;;;;;;;;;;
Los Angeles;Whittier            ;77 671;;;;;;;;;;;
Los Angeles;Total (Los Angeles);970 194;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Madera;Chowchilla          ;5 930;;;;;;;;;;;
Madera;Madera              ;29 283;;;;;;;;;;;
Madera;Balance Of County    ;52 877;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Marin;Belvedere           ;2 147;;;;;;;;;;;
Marin;Corte Madera        ;8 272;;;;;;;;;;;
Marin;Fairfax             ;6 931;;;;;;;;;;;
Marin;Larkspur            ;11 068;;;;;;;;;;;
Marin;Mill Valley         ;13 029;;;;;;;;;;;
Marin;Novato              ;47 585;;;;;;;;;;;
Marin;Ross                ;2 136;;;;;;;;;;;
Marin;San Anselmo         ;11 735;;;;;;;;;;;
Marin;San Rafael          ;48 410;;;;;;;;;;;
Marin;Sausalito           ;7 152;;;;;;;;;;;
Marin;Tiburon             ;7 554;;;;;;;;;;;
Marin;Balance Of County    ;64 077;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Mariposa;Balance Of County    ;14 302;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Mendocino;Fort Bragg          ;6 078;;;;;;;;;;;
Mendocino;Point Arena         ;407;;;;;;;;;;;
Mendocino;Ukiah               ;14 632;;;;;;;;;;;
Mendocino;Willits             ;5 027;;;;;;;;;;;
Mendocino;Balance Of County    ;54 201;;;;;;;;;;;
